,Stock Name,accuracy,profit count,loss count,total no of rise,total number of loss
0,GAIL.csv,92.0,8.0,51.0,13.0,51.0
1,NTPC.csv,95.0,15.0,55.0,18.0,55.0
2,HDFC.csv,85.0,29.0,32.0,30.0,41.0
3,WIPRO.csv,87.0,16.0,40.0,20.0,44.0
4,HDFCBANK.csv,90.0,11.0,49.0,17.0,49.0
5,ICICIBANK.csv,96.0,8.0,66.0,11.0,66.0
6,INFRATEL.csv,89.0,3.0,58.0,10.0,58.0
7,TATAMOTORS.csv,80.0,20.0,31.0,25.0,38.0
8,RELIANCE.csv,95.0,25.0,40.0,27.0,41.0
9,TATAPOWER.csv,85.0,18.0,36.0,23.0,40.0
10,TATAMTRDVR.csv,86.0,22.0,38.0,26.0,43.0
11,ZEEL.csv,88.0,25.0,41.0,30.0,45.0
12,TECHM.csv,90.0,22.0,35.0,26.0,37.0
13,BHEL.csv,87.0,17.0,41.0,23.0,43.0
14,LUPIN.csv,93.0,34.0,40.0,37.0,42.0
15,LT.csv,86.0,28.0,40.0,35.0,44.0
16,ULTRACEMCO.csv,85.0,20.0,35.0,27.0,37.0
17,HEROMOTOCO.csv,96.0,10.0,70.0,13.0,70.0
18,HINDUNILVR.csv,96.0,11.0,65.0,14.0,65.0
19,BHARTIARTL.csv,82.0,28.0,36.0,34.0,44.0
20,HINDALCO.csv,85.0,23.0,34.0,27.0,40.0
21,AXISBANK.csv,83.0,19.0,35.0,26.0,39.0
22,HCLTECH.csv,94.0,15.0,73.0,19.0,74.0
23,SUNPHARMA.csv,86.0,22.0,34.0,28.0,37.0
24,AUROPHARMA.csv,97.0,19.0,49.0,21.0,49.0
25,COALINDIA.csv,94.0,3.0,79.0,8.0,79.0
26,EICHERMOT.csv,92.0,30.0,29.0,32.0,32.0
27,POWERGRID.csv,89.0,17.0,51.0,25.0,51.0
28,ADANIPORTS.csv,90.0,30.0,39.0,35.0,41.0
29,SBIN.csv,94.0,15.0,50.0,19.0,50.0
30,INFY.csv,98.0,4.0,66.0,5.0,66.0
31,DRREDDY.csv,94.0,22.0,48.0,26.0,48.0
32,IDEA.csv,87.0,20.0,41.0,27.0,43.0
33,BANKBARODA.csv,91.0,18.0,45.0,23.0,46.0
34,M&M.csv,86.0,22.0,42.0,30.0,44.0
35,ONGC.csv,84.0,5.0,61.0,15.0,63.0
36,YESBANK.csv,92.0,20.0,38.0,21.0,42.0
37,CIPLA.csv,88.0,31.0,35.0,35.0,40.0
38,BPCL.csv,95.0,4.0,58.0,7.0,58.0
39,TCS.csv,91.0,11.0,61.0,14.0,65.0
40,INDUSINDBK.csv,92.0,38.0,35.0,42.0,37.0
41,BOSCHLTD.csv,90.0,20.0,40.0,22.0,44.0
42,AMBUJACEM.csv,84.0,23.0,42.0,26.0,51.0
43,ITC.csv,94.0,9.0,78.0,14.0,78.0
44,MARUTI.csv,90.0,22.0,26.0,24.0,29.0
45,KOTAKBANK.csv,93.0,27.0,48.0,31.0,49.0
46,ACC.csv,86.0,19.0,37.0,23.0,42.0
47,TATASTEEL.csv,94.0,27.0,44.0,31.0,44.0
48,ASIANPAINT.csv,90.0,11.0,55.0,17.0,56.0
49,GRASIM.csv,86.0,27.0,48.0,33.0,54.0
