Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,253.000000,255.350006,250.949997,251.899994,249.123077,2876613
2016-06-29,252.800003,258.500000,251.750000,255.899994,253.078995,3730629
2016-06-30,255.100006,257.399994,252.399994,254.800003,251.991119,2354039
2016-07-01,255.699997,257.399994,252.149994,252.949997,250.161514,1201416
2016-07-04,253.000000,255.699997,252.300003,253.149994,250.359299,1619285
2016-07-05,252.600006,255.949997,251.750000,253.550003,250.754898,2790794
2016-07-07,253.550003,259.000000,253.000000,256.950012,254.117416,2048744
2016-07-08,257.100006,261.000000,256.850006,258.100006,255.254761,1621615
2016-07-11,261.700012,261.750000,259.549988,260.649994,257.776611,1927776
2016-07-12,260.100006,263.850006,259.200012,260.799988,257.924957,1576218
2016-07-13,260.799988,262.950012,258.799988,260.600006,257.727173,1366007
2016-07-14,260.049988,263.500000,258.649994,262.649994,259.754547,790661
2016-07-15,263.950012,265.000000,259.799988,260.850006,257.974426,1179457
2016-07-18,261.500000,262.750000,258.899994,259.950012,257.084351,1575126
2016-07-19,260.250000,264.000000,258.649994,262.700012,259.804047,1137771
2016-07-20,263.200012,267.149994,259.649994,262.000000,259.111725,2450710
2016-07-21,263.000000,267.700012,262.799988,265.899994,262.968750,2164365
2016-07-22,267.000000,267.049988,262.299988,265.049988,262.128113,628541
2016-07-25,265.450012,269.399994,264.299988,269.000000,266.034576,983068
2016-07-26,271.200012,274.000000,268.200012,269.799988,266.825745,2261427
2016-07-27,278.000000,278.000000,266.399994,268.000000,265.045593,5029755
2016-07-28,269.000000,273.850006,266.200012,271.549988,268.556458,2946512
2016-07-29,272.399994,274.899994,269.149994,271.250000,268.259796,1313996
2016-08-01,271.649994,272.950012,269.350006,271.000000,268.012543,1126254
2016-08-02,269.799988,270.600006,262.950012,263.850006,262.491119,1581110
2016-08-03,265.200012,266.950012,259.850006,262.500000,261.148071,2730261
2016-08-04,265.899994,265.899994,261.899994,264.399994,263.038269,1128677
2016-08-05,265.100006,276.649994,265.100006,275.899994,274.479065,2703051
2016-08-08,275.399994,277.750000,271.899994,276.500000,275.075958,2391360
2016-08-09,277.000000,277.000000,267.700012,270.500000,269.106873,2564563
2016-08-10,271.200012,271.200012,259.000000,260.450012,259.108643,3625493
2016-08-11,263.000000,264.000000,256.250000,259.700012,258.362518,3841083
2016-08-12,260.450012,265.500000,260.450012,264.500000,263.137787,1527202
2016-08-16,264.500000,270.450012,263.200012,269.649994,268.261230,7699939
2016-08-17,268.000000,271.950012,264.899994,269.750000,268.360748,1319046
2016-08-18,272.250000,274.850006,269.649994,272.100006,270.698639,1825211
2016-08-19,272.750000,277.600006,272.000000,276.450012,275.026245,2054831
2016-08-22,275.350006,277.350006,270.000000,271.299988,269.902740,1097012
2016-08-23,269.799988,273.950012,265.399994,271.000000,269.604309,1487494
2016-08-24,270.799988,270.950012,265.000000,267.100006,265.724396,1248576
2016-08-25,267.600006,270.500000,262.549988,265.000000,263.635193,5272138
2016-08-26,265.000000,268.899994,262.200012,266.149994,264.779266,1427315
2016-08-29,265.000000,265.899994,262.450012,264.200012,262.839325,804577
2016-08-30,265.799988,278.399994,264.799988,275.049988,273.633423,3635226
2016-08-31,275.049988,281.700012,275.000000,277.950012,276.518524,8488820
2016-09-01,273.700012,278.850006,272.399994,277.000000,275.573395,3369272
2016-09-02,275.100006,278.750000,273.350006,276.350006,274.926758,1481785
2016-09-06,276.350006,279.350006,275.700012,277.399994,275.971344,1601423
2016-09-07,277.500000,278.850006,273.200012,274.000000,272.588837,3232463
2016-09-08,274.049988,278.000000,273.649994,275.950012,274.528809,2096981
2016-09-09,275.500000,276.100006,271.500000,272.649994,271.245789,1727563
2016-09-12,269.100006,269.850006,259.000000,259.850006,258.511719,1068330
2016-09-14,259.850006,266.000000,259.850006,264.049988,262.690063,2426881
