Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,520.900024,527.049988,520.099976,1051.699951,510.647797,2375938
2016-06-29,527.450012,530.299988,521.650024,1054.349976,511.934479,1664976
2016-06-30,531.000000,539.000000,525.549988,1072.150024,520.577209,4698356
2016-07-01,537.500000,551.150024,533.500000,1091.949951,530.190979,2131726
2016-07-04,547.500000,555.000000,547.500000,1106.150024,537.085754,3385412
2016-07-05,553.750000,558.900024,546.200012,1097.949951,533.104248,3917420
2016-07-07,548.974976,560.500000,544.750000,1114.099976,540.945801,5035134
2016-07-08,560.549988,561.950012,552.224976,1114.699951,541.237122,5675066
2016-07-11,563.450012,575.000000,560.049988,1133.300049,550.268372,6288578
2016-07-12,566.099976,578.000000,556.549988,1120.550049,544.077576,7373266
2016-07-13,559.900024,563.000000,543.599976,545.599976,529.826782,3740895
2016-07-14,546.250000,556.450012,546.250000,553.400024,537.401367,1570301
2016-07-15,554.000000,557.900024,547.000000,554.750000,538.712341,2432190
2016-07-18,556.000000,562.750000,551.599976,556.150024,540.071899,1695949
2016-07-19,555.599976,574.000000,554.049988,572.150024,555.609375,2914955
2016-07-20,570.000000,583.000000,570.000000,574.500000,557.891418,2316946
2016-07-21,582.200012,590.599976,573.299988,576.250000,559.590820,2766968
2016-07-22,577.700012,584.950012,568.549988,583.200012,566.339844,1959202
2016-07-25,587.000000,601.849976,585.400024,593.500000,576.342041,3073334
2016-07-26,594.500000,600.849976,585.500000,588.349976,571.340942,2146031
2016-07-27,588.650024,596.349976,582.450012,588.500000,571.486633,2179919
2016-07-28,589.450012,592.900024,575.049988,583.799988,566.922485,4264790
2016-07-29,587.599976,597.000000,582.599976,592.650024,575.516663,1765610
2016-08-01,596.950012,603.500000,590.250000,594.599976,577.410278,2221695
2016-08-02,596.549988,599.700012,577.150024,579.349976,562.601135,2678667
2016-08-03,580.000000,583.049988,567.750000,572.900024,556.337646,2845673
2016-08-04,574.250000,578.099976,558.000000,569.299988,552.841675,2484156
2016-08-05,575.799988,587.799988,573.549988,586.549988,569.593018,2765680
2016-08-08,593.099976,617.700012,589.000000,606.750000,589.209045,8163556
2016-08-09,608.950012,613.750000,592.400024,595.650024,578.429993,4917268
2016-08-10,597.549988,604.500000,578.400024,583.549988,566.679749,4158402
2016-08-11,589.000000,600.000000,581.000000,596.849976,579.595215,4216107
2016-08-12,589.200012,594.500000,574.950012,579.950012,563.183777,3005776
