Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,18690.000000,19225.699219,18689.900391,19166.300781,19166.300781,42238
2016-06-29,19289.699219,19349.300781,19067.800781,19116.199219,19116.199219,32587
2016-06-30,19300.000000,19306.900391,19133.199219,19222.400391,19222.400391,44664
2016-07-01,19222.000000,19450.000000,19050.199219,19155.099609,19155.099609,48199
2016-07-04,19350.000000,19640.000000,19250.000000,19492.199219,19492.199219,41668
2016-07-05,19500.000000,19500.000000,19325.199219,19431.400391,19431.400391,20311
2016-07-07,19431.400391,19649.000000,19300.000000,19593.099609,19593.099609,23864
2016-07-08,19600.000000,19620.000000,19400.000000,19451.599609,19451.599609,29761
2016-07-11,19619.900391,19644.900391,19480.000000,19546.099609,19546.099609,26337
2016-07-12,19502.000000,19774.800781,19502.000000,19677.099609,19677.099609,24552
2016-07-13,19621.800781,19700.000000,19411.000000,19536.599609,19536.599609,28527
2016-07-14,19521.000000,19600.000000,19450.000000,19517.099609,19517.099609,20618
2016-07-15,19535.000000,19865.000000,19525.000000,19781.099609,19781.099609,29759
2016-07-18,19800.000000,19999.000000,19800.000000,19954.199219,19954.199219,23776
2016-07-19,19907.000000,19980.000000,19532.000000,19709.900391,19709.900391,26915
2016-07-20,19655.000000,19889.300781,19655.000000,19849.800781,19849.800781,15313
2016-07-21,19750.000000,19949.000000,19700.000000,19755.000000,19755.000000,12331
2016-07-22,19825.000000,19858.599609,19610.000000,19812.500000,19812.500000,15119
2016-07-25,19850.000000,20040.000000,19771.199219,19972.099609,19972.099609,23576
2016-07-26,19980.000000,20149.000000,19850.000000,20112.199219,20112.199219,29166
2016-07-27,20132.400391,20445.000000,20080.000000,20339.800781,20339.800781,35615
2016-07-28,20499.000000,21249.000000,20460.099609,21099.800781,21099.800781,136322
2016-07-29,21599.000000,22520.000000,21521.099609,22460.800781,22460.800781,199141
2016-08-01,22749.800781,22853.900391,22211.099609,22325.199219,22325.199219,89552
2016-08-02,22351.099609,22550.000000,21800.000000,21846.400391,21846.400391,48756
2016-08-03,21979.900391,22160.800781,21240.099609,21368.400391,21368.400391,63364
2016-08-04,21582.099609,21641.500000,21005.000000,21404.000000,21404.000000,47594
2016-08-05,21600.000000,22299.000000,21516.400391,22223.199219,22223.199219,48333
2016-08-08,22430.900391,22480.800781,22079.199219,22431.699219,22431.699219,28994
2016-08-09,22489.000000,22489.000000,21765.800781,22082.400391,22082.400391,25730
