Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,1211.250000,1231.650024,1211.250000,1228.900024,1213.364136,1264518
2016-06-29,1233.050049,1251.000000,1231.050049,1248.550049,1232.765747,1880015
2016-06-30,1260.000000,1266.250000,1243.050049,1253.599976,1237.751831,4774341
2016-07-01,1253.500000,1262.800049,1237.699951,1242.349976,1226.644043,2112124
2016-07-04,1252.000000,1266.099976,1247.000000,1256.250000,1240.368408,1125696
2016-07-05,1257.500000,1263.449951,1245.699951,1260.699951,1244.762085,1261841
2016-07-07,1260.699951,1295.400024,1253.400024,1290.550049,1274.234741,2760950
2016-07-08,1290.000000,1301.699951,1272.699951,1286.900024,1270.630981,2361470
2016-07-11,1300.000000,1322.000000,1298.050049,1314.099976,1297.487061,1873706
2016-07-12,1320.500000,1337.800049,1319.099976,1333.750000,1316.888672,1743750
2016-07-13,1333.000000,1337.750000,1316.150024,1330.449951,1313.630371,3059127
2016-07-14,1328.400024,1340.199951,1318.050049,1336.949951,1320.048096,1416877
2016-07-15,1325.050049,1370.000000,1320.000000,1364.099976,1361.107910,2180001
2016-07-18,1364.000000,1386.400024,1338.000000,1346.349976,1343.396851,2760273
2016-07-19,1346.349976,1355.949951,1331.250000,1338.550049,1335.614014,2534832
2016-07-20,1339.900024,1345.800049,1325.300049,1334.449951,1331.522949,2673186
2016-07-21,1335.949951,1345.000000,1328.150024,1332.900024,1329.976318,1524359
2016-07-22,1333.949951,1361.150024,1326.699951,1357.000000,1354.023438,1523892
2016-07-25,1355.500000,1387.000000,1350.400024,1382.000000,1378.968628,2693450
2016-07-26,1383.699951,1385.000000,1362.199951,1367.449951,1364.450562,2852587
2016-07-27,1376.900024,1398.099976,1368.550049,1387.699951,1384.656128,3451819
2016-07-28,1390.300049,1410.000000,1374.000000,1402.150024,1399.074463,5473387
2016-07-29,1407.949951,1407.949951,1373.000000,1374.500000,1371.485107,3347082
2016-08-01,1385.000000,1397.449951,1368.000000,1374.300049,1371.285645,3040038
2016-08-02,1371.800049,1373.349976,1334.050049,1342.150024,1339.206055,3509100
2016-08-03,1342.150024,1342.150024,1316.400024,1325.449951,1322.542603,3806460
2016-08-04,1331.300049,1333.699951,1313.099976,1320.150024,1317.254395,2223224
2016-08-05,1330.000000,1350.000000,1322.550049,1342.099976,1339.156128,2210679
2016-08-08,1350.000000,1370.599976,1345.599976,1367.449951,1364.450562,2196658
2016-08-09,1375.000000,1376.000000,1331.500000,1343.000000,1340.054199,3160963
2016-08-10,1343.349976,1349.000000,1325.349976,1337.150024,1334.217041,2397117
2016-08-11,1339.000000,1353.099976,1331.000000,1348.449951,1345.492188,2774737
2016-08-12,1354.000000,1383.800049,1352.550049,1382.150024,1379.118286,4666213
2016-08-16,1382.150024,1385.000000,1348.099976,1358.550049,1355.570190,3860834
2016-08-17,1350.500000,1372.449951,1350.500000,1366.900024,1363.901855,2627238
2016-08-18,1369.500000,1377.750000,1363.750000,1374.300049,1371.285645,2889535
2016-08-19,1375.000000,1376.150024,1358.800049,1369.400024,1366.396362,2925379
2016-08-22,1370.000000,1380.800049,1357.599976,1377.550049,1374.528442,2069513
2016-08-23,1373.650024,1380.000000,1362.250000,1375.150024,1372.133667,1766716
2016-08-24,1386.300049,1386.800049,1366.250000,1382.849976,1379.816772,1692693
2016-08-25,1380.650024,1390.000000,1352.300049,1357.500000,1354.522339,1846727
2016-08-26,1361.500000,1371.150024,1349.000000,1366.349976,1363.352905,1478521
2016-08-29,1364.900024,1379.500000,1357.650024,1375.500000,1372.482910,1371236
2016-08-30,1379.900024,1394.250000,1373.599976,1392.099976,1389.046509,2039705
2016-08-31,1390.099976,1414.000000,1390.000000,1405.449951,1402.367188,5712564
2016-09-01,1412.000000,1430.000000,1405.300049,1424.750000,1421.624878,2336511
2016-09-02,1426.500000,1441.949951,1421.050049,1439.150024,1435.993286,2435712
2016-09-06,1439.150024,1462.000000,1439.150024,1458.050049,1454.851929,2249067
2016-09-07,1464.000000,1464.000000,1416.250000,1427.150024,1424.019653,2282112
2016-09-08,1432.750000,1442.800049,1428.099976,1437.800049,1434.646362,1135659
2016-09-09,1442.000000,1442.000000,1396.550049,1410.650024,1407.555786,3028457
2016-09-12,1390.000000,1410.000000,1373.699951,1399.050049,1395.981323,2322859
2016-09-14,1399.050049,1399.050049,1378.500000,1392.199951,1389.146240,2442783
2016-09-15,1393.099976,1412.500000,1390.400024,1410.050049,1406.957153,1519406
2016-09-16,1416.699951,1417.000000,1393.000000,1397.349976,1394.284912,5047304
