Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,119.900002,121.050003,117.750000,118.050003,117.299294,11037595
2016-06-29,119.000000,121.300003,118.599998,119.949997,119.187202,9327343
2016-06-30,122.400002,123.449997,121.250000,122.849998,122.068764,15709303
2016-07-01,124.000000,125.500000,123.150002,124.750000,123.956680,8905862
2016-07-04,126.099998,126.750000,125.500000,125.949997,125.149048,5715305
2016-07-05,126.000000,127.400002,123.300003,123.650002,122.863678,9848628
2016-07-07,123.650002,128.699997,123.650002,127.699997,126.887917,15661285
2016-07-08,128.699997,128.699997,125.500000,126.849998,126.043327,8327269
2016-07-11,128.300003,129.750000,128.050003,129.050003,128.229340,7534954
2016-07-12,130.350006,136.199997,130.000000,135.250000,134.389908,26490373
2016-07-13,136.000000,139.899994,134.699997,135.800003,134.936417,20241097
2016-07-14,136.000000,137.350006,133.750000,135.800003,134.936417,11703265
2016-07-15,136.899994,138.000000,135.550003,137.399994,136.526230,10639879
2016-07-18,137.899994,141.449997,136.149994,137.250000,136.377182,13729613
2016-07-19,136.899994,139.500000,136.600006,138.000000,137.122421,10933178
2016-07-20,138.850006,139.300003,134.300003,135.899994,135.035767,11898110
2016-07-21,137.149994,137.500000,133.500000,133.899994,133.048492,11200454
2016-07-22,133.199997,137.000000,130.350006,136.000000,135.135132,15030516
2016-07-25,136.500000,136.899994,133.899994,135.199997,134.340225,6407189
2016-07-26,135.199997,136.800003,131.000000,131.649994,130.812790,12881150
2016-07-27,132.649994,134.600006,131.199997,133.800003,132.949127,9550329
2016-07-28,134.000000,135.600006,132.100006,134.250000,133.396271,10626361
2016-07-29,134.949997,135.649994,132.149994,133.550003,132.700714,7051660
2016-08-01,134.500000,138.800003,134.100006,136.600006,135.731323,12647887
2016-08-02,137.399994,138.250000,134.600006,135.500000,134.638321,9026140
2016-08-03,135.399994,137.250000,133.600006,135.699997,134.837036,9958140
2016-08-04,136.500000,137.949997,135.399994,137.100006,136.228149,6943209
2016-08-05,139.000000,144.250000,138.500000,143.699997,142.786163,13302798
2016-08-08,146.250000,152.149994,146.000000,149.149994,148.201508,20168915
2016-08-09,150.199997,150.250000,145.399994,146.600006,145.667740,9816523
2016-08-10,147.000000,149.149994,144.550003,145.800003,144.872818,9266876
2016-08-11,145.600006,146.000000,138.500000,142.250000,141.345398,9200944
2016-08-12,143.000000,149.250000,143.000000,146.350006,145.419327,22086647
2016-08-16,146.350006,155.550003,146.350006,154.649994,153.666534,17292821
2016-08-17,154.350006,156.800003,153.949997,155.949997,154.958267,13401034
2016-08-18,156.500000,157.149994,154.000000,154.350006,153.368454,7030499
2016-08-19,156.800003,159.449997,156.250000,158.949997,157.939194,13625085
2016-08-22,158.000000,158.000000,155.300003,156.050003,155.057632,6708408
2016-08-23,155.500000,156.949997,153.800003,155.550003,154.560822,6120185
2016-08-24,156.300003,157.600006,155.399994,157.000000,156.001587,7012966
2016-08-25,156.949997,157.800003,153.500000,154.250000,153.269089,7136191
2016-08-26,155.449997,156.949997,154.300003,155.500000,154.511139,7924816
2016-08-29,155.000000,159.500000,154.500000,158.300003,157.293335,7488966
2016-08-30,159.899994,163.500000,159.050003,162.750000,161.715027,7930389
2016-08-31,163.000000,164.699997,158.250000,159.250000,158.237289,15209502
2016-09-01,159.000000,160.649994,156.600006,157.500000,156.498413,6261144
2016-09-02,158.300003,158.899994,154.500000,157.250000,156.250000,6820117
2016-09-06,157.250000,159.899994,157.000000,158.500000,158.500000,5189625
2016-09-07,158.550003,161.800003,158.050003,159.699997,159.699997,7925196
2016-09-08,160.899994,163.449997,160.000000,161.949997,161.949997,9379095
2016-09-09,162.850006,162.850006,154.000000,154.850006,154.850006,9427758
2016-09-12,149.000000,150.600006,139.899994,140.850006,140.850006,16165924
2016-09-14,140.850006,143.699997,138.550003,143.250000,143.250000,13195609
2016-09-15,144.949997,146.250000,141.149994,145.550003,145.550003,10494591
2016-09-16,146.800003,147.899994,142.000000,142.649994,142.649994,10327538
2016-09-19,143.100006,144.600006,141.699997,143.949997,143.949997,4969953
2016-09-20,143.000000,146.350006,142.600006,145.600006,145.600006,7633586
2016-09-21,145.550003,151.350006,144.100006,149.550003,149.550003,14671999
2016-09-22,153.399994,156.199997,152.250000,154.600006,154.600006,16321716
