Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,861.000000,889.950012,859.000000,887.750000,872.485229,1607560
2016-06-29,889.900024,894.150024,877.000000,883.799988,868.603149,857945
2016-06-30,891.000000,902.900024,890.549988,898.549988,883.099548,2029009
2016-07-01,898.599976,904.549988,886.099976,897.599976,882.165833,1099564
2016-07-04,900.000000,902.750000,888.000000,893.049988,877.694092,674938
2016-07-05,895.200012,896.200012,886.849976,890.200012,874.893127,631452
2016-07-07,890.200012,920.000000,888.599976,918.299988,902.509949,1689043
2016-07-08,919.000000,926.299988,913.450012,920.700012,904.868713,1579861
2016-07-11,927.000000,934.900024,921.349976,929.400024,913.419067,746028
2016-07-12,933.900024,933.900024,913.650024,925.299988,909.389526,813346
2016-07-13,923.099976,929.750000,917.450012,927.450012,911.502563,598072
2016-07-14,927.000000,935.000000,922.049988,932.950012,916.908020,757072
2016-07-15,935.000000,951.450012,932.049988,941.500000,925.311035,1284879
2016-07-18,944.000000,946.599976,910.000000,921.950012,906.097229,3013256
2016-07-19,904.099976,906.900024,888.000000,895.150024,879.758057,2602482
2016-07-20,899.450012,910.299988,897.200012,906.900024,891.305969,897886
2016-07-21,907.000000,913.650024,900.500000,910.049988,894.401794,876194
2016-07-22,911.200012,915.000000,897.000000,903.200012,887.669556,967993
2016-07-25,900.500000,909.299988,895.700012,906.950012,891.355103,1297630
2016-07-26,911.900024,911.900024,899.000000,902.700012,887.178223,1094799
2016-07-27,900.000000,909.450012,898.250000,903.849976,888.308350,1168069
2016-07-28,904.900024,913.000000,895.099976,909.400024,893.763000,1760367
2016-07-29,905.400024,925.000000,902.549988,922.549988,906.686829,1284438
2016-08-01,930.000000,930.049988,916.150024,925.000000,909.094727,1270582
2016-08-02,928.900024,940.849976,924.200012,927.400024,911.453491,1442265
2016-08-03,926.799988,926.799988,909.549988,913.799988,898.087280,1067729
2016-08-04,922.000000,922.250000,908.849976,918.049988,902.264221,685515
2016-08-05,921.150024,928.650024,916.400024,925.500000,909.586121,936293
2016-08-08,926.549988,934.349976,922.400024,929.500000,913.517334,640018
2016-08-09,929.500000,935.900024,924.150024,934.250000,918.185669,912239
2016-08-10,935.000000,935.349976,922.799988,924.950012,909.045593,675289
2016-08-11,924.900024,938.099976,922.549988,935.650024,919.561646,859803
2016-08-12,934.799988,947.000000,926.000000,935.000000,918.922791,664203
2016-08-16,935.000000,943.900024,921.349976,926.200012,910.274109,847402
2016-08-17,924.900024,925.700012,910.299988,913.200012,897.497620,685242
2016-08-18,913.000000,916.700012,905.250000,906.900024,891.305969,1047855
2016-08-19,909.000000,915.700012,901.250000,910.650024,894.991516,1232642
2016-08-22,911.900024,933.900024,911.900024,930.049988,914.057861,1405730
2016-08-23,931.000000,931.650024,919.049988,921.700012,905.851501,923109
2016-08-24,921.000000,924.950012,908.250000,919.400024,903.591064,929753
2016-08-25,921.000000,922.000000,907.200012,910.799988,895.138855,1760911
2016-08-26,914.799988,914.799988,900.000000,904.500000,888.947205,753284
2016-08-29,906.000000,908.000000,901.000000,905.200012,889.635193,488018
2016-08-30,908.000000,926.299988,907.599976,924.799988,908.898193,921470
2016-08-31,925.000000,926.500000,911.849976,917.049988,901.281372,2185015
2016-09-01,917.099976,929.500000,913.349976,925.799988,909.880981,654587
2016-09-02,923.500000,926.549988,917.549988,920.750000,904.917786,968873
2016-09-06,920.750000,939.750000,920.750000,937.849976,921.723755,811241
2016-09-07,937.000000,938.900024,927.400024,933.000000,916.957214,728867
2016-09-08,933.000000,953.599976,931.500000,951.549988,935.188171,1528195
2016-09-09,950.000000,954.000000,927.400024,929.950012,913.959656,888951
2016-09-12,924.849976,924.849976,912.450012,918.450012,902.657349,677577
2016-09-14,918.450012,924.500000,905.000000,908.450012,892.829285,1349809
2016-09-15,910.200012,920.849976,906.000000,914.000000,898.283875,964711
2016-09-16,916.250000,928.599976,909.400024,911.700012,896.023438,1542460
2016-09-19,915.450012,922.500000,909.099976,911.950012,896.269165,793036
2016-09-20,912.150024,916.799988,900.900024,902.900024,887.374756,1133099
2016-09-21,902.000000,914.549988,900.549988,913.049988,897.350220,1102665
2016-09-22,913.000000,917.950012,903.250000,910.150024,894.500061,1250220
2016-09-23,911.000000,912.500000,901.000000,910.549988,894.893188,1498875
2016-09-26,909.000000,913.900024,886.500000,892.599976,877.251831,1153660
2016-09-27,895.000000,900.950012,889.400024,897.299988,881.871033,849724
2016-09-28,900.000000,900.849976,881.250000,887.150024,871.895569,1877866
2016-09-29,891.000000,892.799988,873.500000,878.299988,863.197693,3307074
2016-09-30,877.099976,879.849976,865.000000,867.849976,852.927429,3104818
2016-10-03,878.000000,878.000000,860.200012,868.750000,853.811890,2066037
2016-10-04,872.000000,872.000000,858.799988,860.400024,845.605530,1465854
2016-10-05,865.000000,873.700012,862.400024,870.950012,855.974121,1781339
2016-10-06,874.000000,886.849976,874.000000,884.450012,869.242004,1360160
2016-10-07,889.700012,889.700012,868.150024,877.250000,862.165771,1088191
2016-10-10,879.700012,885.549988,874.450012,876.150024,861.084717,734544
2016-10-13,876.150024,876.150024,852.500000,862.049988,847.227112,2130773
2016-10-14,854.750000,855.549988,837.000000,842.250000,827.767639,2077909
2016-10-17,844.000000,851.000000,839.000000,849.250000,834.647217,1136539
2016-10-18,850.299988,857.000000,849.000000,855.599976,840.888000,1146943
2016-10-19,855.000000,855.950012,844.049988,846.000000,831.453125,1171167
2016-10-20,848.549988,849.450012,838.599976,840.299988,825.851135,818580
2016-10-21,840.000000,852.250000,837.049988,851.200012,836.563721,1247395
2016-10-24,851.799988,855.000000,844.250000,848.349976,833.762695,1639740
2016-10-25,847.099976,849.799988,829.549988,832.349976,818.037781,1925999
2016-10-26,831.099976,846.799988,826.549988,842.849976,828.357239,1928005
2016-10-27,850.000000,850.000000,818.400024,840.299988,825.851135,3193498
2016-10-28,841.000000,846.950012,833.799988,836.500000,822.116455,1396899
2016-11-01,836.500000,842.700012,831.650024,835.250000,827.815308,891827
2016-11-02,835.000000,848.450012,832.049988,841.099976,833.613220,1085441
2016-11-03,838.150024,848.500000,834.700012,839.400024,831.928345,1975240
2016-11-04,849.000000,866.400024,842.500000,848.000000,840.451782,2273336
2016-11-07,850.000000,851.750000,834.549988,837.650024,830.193970,803129
2016-11-08,838.450012,846.750000,836.099976,844.599976,837.082031,797363
2016-11-09,820.000000,835.349976,799.000000,828.299988,820.927124,2122893
2016-11-10,840.000000,841.900024,813.799988,818.549988,811.263916,1017007
2016-11-11,815.000000,815.000000,798.099976,801.750000,794.613464,1758762
2016-11-15,801.750000,809.799988,783.250000,805.450012,798.280579,2007604
2016-11-16,809.000000,813.500000,798.000000,808.750000,801.551147,2677282
2016-11-17,808.750000,816.000000,803.000000,811.650024,804.425354,665671
2016-11-18,813.000000,814.799988,795.549988,802.849976,795.703674,1462211
2016-11-21,802.849976,805.799988,792.650024,797.750000,790.649109,993597
2016-11-22,806.299988,822.500000,802.799988,819.900024,812.601929,1226008
2016-11-23,820.349976,834.000000,815.099976,831.700012,824.296875,1254013
2016-11-24,828.799988,834.500000,820.549988,825.299988,817.953857,1588843
2016-11-25,830.000000,838.000000,825.650024,833.599976,826.179932,788448
2016-11-28,830.450012,841.950012,829.000000,837.849976,830.392151,930063
2016-11-29,837.000000,841.000000,830.250000,832.700012,825.288025,1157881
2016-11-30,835.250000,850.299988,831.049988,844.000000,836.487427,2734453
2016-12-01,844.000000,855.700012,840.900024,848.099976,840.550903,951938
2016-12-02,845.000000,848.400024,828.150024,831.450012,824.049133,623704
2016-12-05,832.900024,851.400024,832.000000,844.900024,837.379395,760110
2016-12-06,845.400024,849.799988,833.200012,836.000000,828.558594,611314
2016-12-07,839.849976,844.000000,832.049988,833.700012,826.279114,394177
2016-12-08,836.000000,846.799988,836.000000,843.000000,835.496277,609858
2016-12-09,839.900024,847.000000,836.349976,845.049988,837.528076,463868
2016-12-12,845.000000,845.849976,830.349976,832.599976,825.188843,317031
2016-12-13,834.000000,836.400024,824.900024,831.150024,823.751831,716723
2016-12-14,831.000000,832.849976,818.799988,821.799988,814.484985,418711
2016-12-15,818.000000,823.700012,813.650024,816.049988,808.786194,552176
2016-12-16,817.500000,827.000000,813.599976,816.950012,809.678223,907271
2016-12-19,817.000000,817.799988,808.000000,809.750000,802.542297,709550
2016-12-20,808.750000,812.750000,798.450012,801.400024,794.266602,1057366
2016-12-21,802.000000,805.000000,795.900024,796.799988,789.707520,1024157
2016-12-22,796.000000,802.500000,783.849976,787.049988,780.044312,1147406
2016-12-23,786.500000,799.400024,781.950012,789.500000,782.472534,893290
2016-12-26,788.000000,804.900024,785.049988,801.799988,794.663025,686679
2016-12-27,801.900024,808.500000,796.599976,806.750000,799.568970,552306
2016-12-28,808.000000,821.200012,806.000000,810.299988,803.087341,811567
2016-12-29,811.250000,821.950012,806.549988,818.500000,811.214355,1295881
2016-12-30,819.450012,829.450012,818.500000,826.349976,818.994507,709395
2017-01-02,828.000000,828.000000,819.099976,825.349976,818.003418,439748
2017-01-03,826.450012,832.799988,819.500000,829.849976,822.463318,617599
2017-01-04,829.849976,837.400024,816.549988,821.599976,814.286743,1298675
2017-01-05,824.900024,835.750000,822.000000,833.150024,825.734009,800848
2017-01-06,832.900024,874.799988,831.700012,833.750000,826.328613,545826
2017-01-09,838.000000,838.549988,828.349976,831.049988,823.652649,323290
