Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,150.600006,150.649994,147.149994,148.000000,144.157410,2721133
2016-06-29,148.000000,152.500000,148.000000,152.100006,148.150970,3055594
2016-06-30,152.449997,157.000000,152.350006,156.300003,152.241913,7742834
2016-07-01,155.300003,157.600006,155.000000,156.750000,152.680237,2518848
2016-07-04,156.000000,158.000000,154.250000,155.949997,151.901001,2920418
2016-07-05,155.899994,155.899994,152.250000,152.600006,148.637970,2756392
2016-07-07,152.600006,154.149994,150.000000,152.899994,148.930176,5160955
2016-07-08,152.250000,154.449997,150.649994,153.800003,149.806824,1493886
2016-07-11,155.100006,158.699997,155.100006,157.649994,153.556854,3070692
2016-07-12,157.699997,159.350006,157.350006,158.300003,154.189987,2132215
2016-07-13,159.100006,159.399994,156.600006,157.649994,153.556854,3126686
2016-07-14,156.750000,159.199997,156.750000,158.699997,154.579605,2889372
2016-07-15,142.850006,156.750000,142.850006,156.250000,152.193207,20806315
2016-07-18,156.000000,156.800003,154.649994,155.600006,151.560104,3065784
2016-07-19,155.500000,156.600006,154.750000,156.199997,152.144501,2722116
2016-07-20,156.199997,158.000000,155.449997,157.350006,153.264648,3123038
2016-07-21,158.000000,158.149994,154.399994,154.899994,150.878265,3001821
2016-07-22,155.000000,157.100006,154.100006,156.600006,152.534119,3699457
2016-07-25,156.000000,158.000000,156.000000,157.500000,153.410751,2301904
2016-07-26,157.800003,158.850006,157.100006,158.100006,153.995193,1992769
2016-07-27,158.899994,160.399994,157.100006,159.050003,154.920517,3185071
2016-07-28,159.100006,160.000000,156.300003,158.600006,154.482208,8004742
2016-07-29,158.149994,160.000000,157.050003,158.350006,154.238693,2519585
2016-08-01,158.600006,160.000000,157.449997,159.399994,155.261414,3866693
2016-08-02,159.899994,160.800003,158.500000,159.350006,155.212738,2300727
2016-08-03,158.899994,159.350006,156.699997,157.500000,153.410751,2822822
2016-08-04,157.350006,159.500000,157.350006,159.050003,154.920517,2505885
2016-08-05,160.000000,163.000000,159.050003,161.449997,157.258194,2618388
2016-08-08,162.050003,162.050003,158.899994,159.850006,155.699753,2117821
2016-08-09,159.550003,162.250000,159.149994,159.850006,155.699753,2979133
2016-08-10,160.600006,161.600006,156.750000,157.899994,153.800369,3266508
