Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,774.000000,779.349976,763.549988,765.099976,764.118103,2788888
2016-06-29,770.700012,774.450012,767.599976,770.299988,769.311462,2460436
2016-06-30,775.000000,776.900024,761.000000,763.099976,762.120728,4538392
2016-07-01,769.000000,769.450012,762.049988,763.349976,762.370361,2656477
2016-07-04,768.250000,774.799988,766.150024,770.799988,769.810852,1575107
2016-07-05,772.950012,778.000000,764.250000,774.500000,773.506104,2746347
2016-07-07,774.500000,782.950012,774.500000,778.200012,777.201355,2515212
2016-07-08,781.950012,785.000000,774.450012,777.500000,776.502258,2174896
2016-07-11,789.000000,793.900024,781.500000,789.000000,787.987488,4771555
2016-07-12,792.799988,793.000000,778.150024,783.049988,782.045105,3402732
2016-07-13,786.849976,794.849976,775.000000,778.549988,777.550903,3546248
2016-07-14,774.650024,774.650024,766.849976,768.549988,767.563721,4148326
2016-07-15,772.000000,774.799988,764.099976,770.400024,769.411377,5462554
2016-07-18,774.299988,781.000000,770.900024,776.700012,775.703308,3096502
2016-07-19,780.000000,787.000000,777.599976,782.400024,781.395996,3030866
2016-07-20,785.400024,798.299988,781.549988,797.250000,796.226929,4592908
2016-07-21,800.000000,806.000000,791.000000,794.200012,793.180847,3452258
2016-07-22,796.000000,796.000000,782.000000,786.599976,785.590515,2552125
2016-07-25,788.000000,805.000000,787.000000,804.000000,802.968262,3836740
2016-07-26,807.000000,808.000000,795.099976,798.400024,797.375427,2827707
2016-07-27,797.049988,810.000000,791.250000,807.900024,806.863281,2447955
2016-07-28,810.400024,828.000000,809.500000,825.450012,824.390747,3981433
2016-07-29,825.000000,839.799988,820.549988,829.950012,828.884949,3056996
2016-08-01,837.900024,840.000000,822.700012,835.650024,834.577637,2052236
2016-08-02,839.000000,847.500000,826.849976,828.900024,827.836304,2135409
2016-08-03,832.700012,847.349976,821.299988,839.599976,838.522522,2105776
2016-08-04,842.000000,854.950012,840.099976,848.549988,847.461060,2609726
2016-08-05,852.900024,854.450012,837.049988,841.900024,840.819641,1908271
2016-08-08,842.049988,844.849976,830.400024,832.799988,831.731262,3382787
2016-08-09,834.000000,835.200012,822.599976,829.349976,828.285706,1896252
2016-08-10,831.700012,833.000000,815.049988,817.650024,816.600769,1315780
2016-08-11,814.299988,818.799988,785.200012,808.250000,807.212769,6662203
2016-08-12,816.799988,825.900024,790.549988,800.549988,799.522644,8732728
2016-08-16,800.549988,808.349976,781.200012,782.700012,781.695557,5115466
2016-08-17,778.750000,790.799988,772.799988,785.000000,783.992615,3550406
2016-08-18,790.000000,794.400024,785.500000,788.799988,787.787720,1585900
2016-08-19,792.750000,793.500000,779.599976,783.799988,782.794128,3217425
2016-08-22,784.250000,785.000000,765.000000,770.099976,769.111694,5501620
2016-08-23,770.700012,770.700012,760.000000,762.349976,761.371643,3756220
2016-08-24,765.000000,775.349976,763.549988,769.700012,768.712280,3806381
2016-08-25,773.950012,777.299988,762.049988,764.950012,763.968384,2285008
2016-08-26,766.250000,768.650024,752.750000,755.250000,754.280823,1978922
2016-08-29,757.900024,762.400024,746.599976,759.299988,758.325562,2362413
2016-08-30,763.799988,777.000000,760.950012,774.849976,773.855591,1726397
2016-08-31,778.000000,782.000000,771.299988,775.650024,774.654663,3405144
2016-09-01,775.599976,778.900024,767.250000,770.049988,769.061768,1183855
2016-09-02,774.000000,784.299988,768.000000,782.349976,781.346008,1867621
2016-09-06,782.349976,789.000000,778.299988,782.650024,781.645630,1556462
2016-09-07,783.000000,784.549988,776.549988,779.250000,778.250000,1353192
2016-09-08,780.000000,809.750000,777.299988,808.049988,808.049988,3663747
2016-09-09,811.000000,818.500000,794.099976,797.450012,797.450012,4003165
2016-09-12,789.000000,795.900024,779.099976,787.049988,787.049988,2621800
2016-09-14,787.049988,796.200012,774.400024,779.849976,779.849976,3858523
2016-09-15,784.000000,792.599976,782.150024,786.349976,786.349976,1479337
2016-09-16,790.049988,794.000000,781.250000,783.799988,783.799988,2303954
2016-09-19,784.549988,789.700012,780.549988,782.500000,782.500000,1283403
2016-09-20,785.000000,786.599976,777.000000,778.750000,778.750000,2078649
2016-09-21,782.000000,784.500000,776.349976,778.849976,778.849976,1572757
2016-09-22,786.049988,788.849976,783.299988,786.750000,786.750000,1730313
2016-09-23,790.099976,790.750000,778.000000,780.049988,780.049988,1768021
2016-09-26,781.000000,784.250000,764.599976,766.150024,766.150024,2308824
2016-09-27,766.500000,776.900024,766.150024,770.150024,770.150024,1556490
2016-09-28,766.200012,773.750000,763.400024,764.799988,764.799988,2342694
2016-09-29,769.000000,770.000000,732.000000,735.849976,735.849976,5321213
2016-09-30,739.950012,745.000000,735.099976,742.700012,742.700012,2051308
2016-10-03,750.000000,761.000000,750.000000,757.049988,757.049988,1856097
2016-10-04,762.000000,773.000000,759.250000,764.299988,764.299988,2557812
2016-10-05,768.500000,768.500000,757.299988,759.450012,759.450012,1847125
2016-10-06,765.000000,766.549988,750.099976,752.900024,752.900024,1755184
2016-10-07,756.000000,756.200012,748.799988,751.200012,751.200012,1554398
2016-10-10,752.950012,758.000000,750.000000,755.450012,755.450012,1365905
2016-10-13,755.450012,755.450012,735.099976,739.700012,739.700012,2996697
2016-10-14,740.900024,747.000000,737.400024,745.500000,745.500000,1849542
2016-10-17,747.299988,747.400024,732.000000,733.950012,733.950012,1510291
2016-10-18,735.950012,745.299988,735.500000,743.500000,743.500000,1901132
2016-10-19,748.400024,759.000000,747.049988,750.250000,750.250000,2267328
2016-10-20,754.750000,755.900024,742.950012,745.500000,745.500000,1360596
2016-10-21,747.000000,749.000000,740.549988,747.750000,747.750000,1807639
2016-10-24,749.900024,753.700012,745.250000,747.150024,747.150024,1014731
2016-10-25,749.099976,759.000000,746.250000,747.400024,747.400024,1924646
2016-10-26,749.000000,749.000000,736.099976,738.700012,738.700012,1206610
2016-10-27,742.000000,750.700012,737.200012,746.900024,746.900024,2686399
2016-10-28,747.000000,752.000000,741.950012,743.400024,743.400024,1900094
2016-11-01,743.400024,749.000000,732.099976,733.750000,733.750000,2566651
2016-11-02,732.799988,732.799988,713.099976,714.049988,714.049988,3286334
2016-11-03,714.000000,717.000000,700.400024,703.650024,703.650024,4374269
2016-11-04,679.900024,679.900024,647.099976,651.500000,651.500000,17908933
2016-11-07,676.000000,677.000000,653.000000,654.900024,654.900024,6663505
2016-11-08,660.000000,663.049988,632.299988,635.400024,635.400024,9896681
2016-11-09,600.000000,669.150024,571.900024,660.750000,660.750000,14963330
2016-11-10,680.000000,693.599976,664.099976,666.200012,666.200012,9357587
2016-11-11,690.000000,708.000000,680.000000,688.000000,688.000000,13184334
2016-11-15,688.000000,705.549988,674.650024,682.450012,682.450012,5816519
2016-11-16,691.000000,694.750000,660.000000,667.400024,667.400024,4722902
2016-11-17,668.750000,681.349976,660.000000,669.250000,669.250000,3756250
2016-11-18,671.500000,692.500000,662.049988,688.849976,688.849976,6150792
2016-11-21,692.000000,697.099976,676.049988,690.349976,690.349976,5090705
2016-11-22,699.000000,699.400024,685.000000,689.900024,689.900024,3359143
2016-11-23,696.000000,704.900024,691.049988,701.299988,701.299988,4496512
2016-11-24,699.500000,699.500000,680.000000,682.500000,682.500000,3783616
2016-11-25,689.500000,717.000000,685.099976,714.150024,714.150024,4410579
2016-11-28,713.650024,720.200012,710.049988,715.150024,715.150024,2607872
2016-11-29,719.900024,721.500000,702.000000,706.500000,706.500000,3674024
2016-11-30,710.900024,719.500000,706.299988,709.799988,709.799988,4359468
2016-12-01,709.799988,724.500000,707.000000,721.500000,721.500000,2796906
2016-12-02,719.299988,730.950012,716.099976,720.349976,720.349976,3163480
2016-12-05,722.000000,725.000000,710.349976,713.099976,713.099976,2946490
2016-12-06,716.549988,721.700012,704.150024,706.150024,706.150024,2939600
2016-12-07,700.000000,700.000000,660.000000,664.000000,664.000000,12922300
2016-12-08,664.000000,679.599976,658.849976,675.700012,675.700012,6865033
2016-12-09,678.000000,682.799988,671.250000,673.000000,673.000000,3298719
2016-12-12,673.200012,681.900024,670.000000,676.400024,676.400024,2155130
2016-12-13,676.000000,685.700012,666.549988,684.349976,684.349976,4508196
2016-12-14,685.950012,692.650024,675.000000,678.400024,678.400024,3202343
2016-12-15,672.799988,673.599976,645.000000,649.950012,649.950012,9539189
2016-12-16,650.849976,651.900024,633.599976,647.349976,647.349976,10780836
2016-12-19,644.000000,644.000000,630.099976,632.250000,632.250000,4214766
2016-12-20,635.000000,638.000000,622.099976,627.900024,627.900024,3984283
2016-12-21,632.000000,633.900024,613.049988,614.450012,614.450012,7404147
2016-12-22,616.250000,625.000000,608.000000,609.150024,609.150024,5479188
2016-12-23,614.000000,629.500000,611.200012,623.500000,623.500000,6105681
2016-12-26,624.549988,624.900024,610.000000,611.250000,611.250000,3005547
2016-12-27,614.000000,622.200012,612.599976,621.099976,621.099976,2289086
2016-12-28,624.000000,628.650024,619.049988,621.349976,621.349976,2516753
2016-12-29,621.500000,624.950012,611.849976,614.700012,614.700012,4788982
2016-12-30,619.000000,632.000000,616.650024,630.000000,630.000000,3523510
2017-01-02,633.000000,640.349976,627.000000,634.049988,634.049988,2266225
2017-01-03,637.000000,641.950012,631.849976,636.099976,636.099976,2821892
2017-01-04,638.000000,643.799988,634.799988,637.349976,637.349976,2500456
2017-01-05,646.099976,647.900024,641.500000,643.450012,643.450012,2589560
2017-01-06,648.099976,649.750000,639.450012,640.750000,640.750000,1864378
2017-01-09,641.099976,646.900024,631.000000,632.049988,632.049988,1827405
2017-01-10,635.000000,639.900024,627.099976,638.549988,638.549988,2559697
2017-01-11,640.000000,649.549988,639.299988,648.200012,648.200012,2784843
2017-01-12,629.000000,646.900024,629.000000,644.750000,644.750000,6269913
2017-01-13,647.000000,657.400024,642.450012,653.000000,653.000000,3524996
2017-01-16,651.000000,654.900024,642.200012,643.500000,643.500000,1349694
2017-01-17,645.000000,652.700012,644.450012,649.700012,649.700012,3016496
2017-01-18,649.000000,654.000000,644.500000,649.950012,649.950012,4013631
2017-01-19,647.000000,653.700012,641.099976,643.450012,643.450012,2089653
2017-01-20,642.849976,647.400024,640.000000,641.549988,641.549988,3671360
2017-01-23,640.000000,645.250000,632.500000,633.650024,633.650024,2955807
2017-01-24,636.000000,644.500000,636.000000,641.400024,641.400024,2187797
2017-01-25,644.000000,646.700012,634.200012,635.849976,635.849976,3068071
2017-01-27,635.849976,643.000000,633.799988,640.500000,640.500000,2362371
2017-01-30,640.049988,654.900024,639.000000,644.750000,644.750000,2406083
2017-01-31,644.500000,649.000000,630.000000,631.500000,631.500000,1926978
2017-02-01,631.000000,637.450012,618.400024,625.549988,625.549988,3507275
2017-02-02,626.200012,644.700012,620.000000,641.400024,641.400024,3819377
2017-02-03,644.500000,649.799988,640.250000,647.250000,647.250000,2048060
2017-02-06,650.000000,677.299988,645.000000,675.150024,675.150024,5835962
2017-02-07,675.000000,689.549988,667.200012,669.599976,669.599976,4274151
2017-02-08,668.650024,677.000000,659.200012,662.200012,662.200012,2959209
2017-02-09,665.000000,669.000000,653.349976,655.500000,655.500000,3295494
2017-02-10,655.500000,662.099976,650.099976,655.049988,655.049988,2814314
2017-02-13,656.500000,659.450012,648.000000,654.700012,654.700012,1885766
2017-02-14,659.000000,662.849976,640.900024,649.299988,649.299988,3393607
2017-02-15,650.200012,651.750000,621.500000,623.049988,623.049988,10352763
2017-02-16,624.000000,652.000000,623.450012,649.299988,649.299988,6158072
2017-02-17,653.500000,677.950012,649.099976,675.500000,675.500000,6165104
2017-02-20,678.000000,686.400024,672.500000,679.650024,679.650024,4597889
2017-02-21,681.700012,685.000000,670.099976,673.200012,673.200012,2972142
2017-02-22,674.000000,675.400024,662.750000,670.349976,670.349976,2662258
2017-02-23,673.900024,681.299988,667.049988,674.549988,674.549988,4522397
2017-02-27,674.549988,685.500000,671.099976,674.450012,674.450012,3477074
2017-02-28,675.000000,682.299988,675.000000,679.000000,679.000000,2711558
2017-03-01,681.099976,697.400024,679.000000,694.650024,694.650024,4972108
2017-03-02,700.000000,701.299988,672.900024,676.150024,676.150024,4783045
2017-03-03,672.000000,688.450012,671.099976,686.450012,686.450012,2495214
2017-03-06,684.000000,684.500000,675.099976,683.000000,683.000000,2858145
2017-03-07,683.599976,684.849976,675.250000,679.650024,679.650024,2152337
2017-03-08,675.000000,688.849976,673.000000,680.400024,680.400024,3480865
2017-03-09,680.349976,686.000000,676.099976,685.150024,685.150024,2408830
2017-03-10,680.049988,691.099976,680.000000,682.950012,682.950012,1987748
2017-03-14,682.950012,729.049988,677.099976,708.200012,708.200012,9857280
2017-03-15,713.000000,717.450012,704.250000,705.849976,705.849976,3046871
2017-03-16,711.000000,719.500000,707.099976,710.799988,710.799988,3087300
2017-03-17,715.000000,716.400024,702.000000,707.500000,707.500000,3067000
2017-03-20,709.000000,711.000000,704.500000,706.549988,706.549988,1418664
2017-03-21,704.000000,705.900024,684.150024,698.049988,698.049988,3691911
2017-03-22,694.000000,703.000000,690.849976,701.450012,701.450012,2414239
