Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,72.250000,72.750000,71.750000,72.000000,69.506584,2667445
2016-06-29,72.349998,73.199997,72.000000,72.650002,70.134071,4642666
2016-06-30,72.849998,73.699997,72.599998,73.349998,70.809837,10502775
2016-07-01,74.000000,74.849998,73.900002,74.349998,71.775200,7839162
2016-07-04,75.000000,75.550003,74.550003,74.900002,72.306160,3698418
2016-07-05,74.900002,74.900002,73.849998,74.300003,71.726944,3605391
2016-07-07,74.300003,74.400002,73.349998,73.550003,71.002914,3261411
2016-07-08,73.550003,74.099998,72.800003,73.199997,70.665024,3813860
2016-07-11,74.050003,74.250000,73.500000,73.949997,71.389053,4781338
2016-07-12,74.050003,74.300003,71.099998,72.699997,70.182343,6293320
2016-07-13,72.800003,73.250000,71.900002,72.050003,69.554855,3796673
2016-07-14,71.800003,72.000000,71.150002,71.800003,69.313515,3847226
2016-07-15,72.550003,72.550003,71.199997,71.650002,69.168709,4554188
2016-07-18,71.699997,71.900002,70.050003,70.349998,67.913727,2888146
2016-07-19,70.750000,71.000000,69.800003,70.400002,67.961990,4152512
2016-07-20,70.449997,72.949997,70.400002,72.349998,69.844460,6920848
2016-07-21,73.000000,73.150002,70.500000,70.750000,68.299873,5259727
2016-07-22,71.500000,72.449997,71.050003,72.050003,70.856819,3320745
2016-07-25,72.150002,72.400002,71.300003,72.000000,70.807648,2470483
2016-07-26,72.500000,73.000000,71.050003,71.349998,70.168404,4026980
2016-07-27,71.199997,71.750000,70.599998,71.050003,69.873383,3949676
2016-07-28,71.150002,71.449997,70.349998,70.699997,69.529167,5838516
2016-07-29,70.949997,72.500000,70.599998,72.000000,70.807648,6171422
2016-08-01,72.550003,73.050003,71.099998,72.000000,70.807648,4255363
2016-08-02,72.349998,72.699997,71.449997,71.699997,70.512611,2909215
2016-08-03,72.250000,72.500000,70.800003,71.250000,70.070068,5023751
2016-08-04,71.550003,71.800003,70.500000,70.800003,69.627518,4065811
2016-08-05,71.150002,71.500000,70.849998,71.099998,69.922546,7685151
2016-08-08,71.449997,73.300003,71.050003,72.750000,71.545227,14343063
2016-08-09,73.250000,76.400002,73.250000,75.400002,74.151337,14218653
2016-08-10,75.900002,75.900002,73.599998,74.000000,72.774521,4373197
2016-08-11,74.199997,76.000000,73.300003,74.650002,73.413757,3901357
2016-08-12,74.849998,76.150002,73.599998,75.199997,73.954651,5276189
2016-08-16,75.199997,77.250000,75.000000,76.550003,75.282295,8040643
2016-08-17,76.650002,78.599998,75.900002,77.949997,76.659103,8821668
2016-08-18,78.000000,78.550003,76.400002,76.900002,75.626503,5317797
2016-08-19,77.000000,78.500000,76.550003,78.050003,76.757454,3821975
2016-08-22,78.400002,79.150002,76.849998,77.050003,75.774017,4454151
2016-08-23,77.900002,78.300003,73.800003,74.800003,73.561279,16453253
2016-08-24,74.050003,76.750000,73.800003,76.449997,75.183945,10358139
2016-08-25,77.000000,77.000000,75.500000,75.650002,74.397202,4536646
2016-08-26,75.750000,76.300003,75.000000,75.750000,74.495544,4446656
2016-08-29,75.900002,76.250000,75.150002,75.949997,74.692230,2310645
2016-08-30,76.050003,77.800003,75.949997,77.099998,75.823181,3920589
2016-08-31,77.349998,79.000000,76.550003,78.500000,77.200005,7628462
2016-09-01,79.800003,80.349998,77.500000,78.150002,76.855797,7490214
2016-09-02,78.099998,79.349998,77.349998,79.000000,77.691719,3402719
2016-09-06,79.000000,79.500000,78.050003,78.500000,77.200005,3986718
2016-09-07,77.349998,77.800003,76.150002,76.699997,76.699997,4132449
2016-09-08,76.800003,77.849998,76.800003,77.550003,77.550003,5396824
2016-09-09,77.500000,78.500000,76.900002,77.199997,77.199997,3383997
2016-09-12,76.500000,76.500000,73.550003,74.300003,74.300003,3976891
2016-09-14,74.300003,76.250000,73.599998,75.349998,75.349998,4303082
2016-09-15,76.349998,76.949997,74.550003,74.800003,74.800003,4190124
2016-09-16,75.099998,75.900002,74.650002,75.449997,75.449997,5836470
2016-09-19,75.699997,77.300003,74.050003,76.849998,76.849998,5397880
2016-09-20,77.400002,77.449997,75.300003,75.750000,75.750000,4918419
2016-09-21,75.750000,76.699997,75.500000,76.250000,76.250000,5084986
2016-09-22,76.800003,76.800003,75.699997,75.949997,75.949997,2402809
2016-09-23,76.199997,76.250000,75.199997,75.599998,75.599998,4724644
2016-09-26,75.400002,76.650002,75.300003,75.849998,75.849998,4237303
2016-09-27,75.750000,75.949997,74.050003,74.900002,74.900002,6149199
2016-09-28,75.000000,76.300003,74.900002,76.099998,76.099998,4637687
2016-09-29,76.500000,76.550003,71.750000,73.650002,73.650002,11226254
2016-09-30,72.699997,75.849998,72.599998,75.400002,75.400002,5403340
2016-10-03,75.500000,76.800003,75.400002,76.449997,76.449997,2908866
2016-10-04,76.900002,78.199997,76.500000,77.449997,77.449997,4695492
2016-10-05,77.699997,79.000000,77.550003,78.300003,78.300003,6805356
2016-10-06,78.150002,80.750000,77.900002,79.050003,79.050003,5917911
2016-10-07,79.000000,81.099998,78.250000,80.699997,80.699997,4301610
2016-10-10,81.000000,82.000000,80.699997,80.849998,80.849998,3776119
2016-10-13,80.849998,80.949997,77.300003,77.699997,77.699997,3527748
2016-10-14,77.800003,78.849998,77.699997,78.400002,78.400002,2071637
2016-10-17,78.150002,78.750000,77.400002,77.550003,77.550003,2024554
2016-10-18,77.650002,78.949997,77.650002,78.750000,78.750000,2658639
2016-10-19,78.849998,81.800003,78.650002,81.250000,81.250000,3816188
2016-10-20,81.000000,83.500000,80.849998,81.949997,81.949997,4880194
2016-10-21,82.000000,84.000000,81.500000,83.599998,83.599998,4707277
2016-10-24,83.650002,84.400002,83.400002,83.650002,83.650002,4203588
2016-10-25,82.000000,83.300003,81.199997,82.400002,82.400002,3720701
2016-10-26,82.000000,82.099998,80.000000,80.849998,80.849998,4997075
2016-10-27,77.449997,80.000000,77.449997,79.550003,79.550003,10205441
2016-10-28,79.199997,81.400002,78.150002,78.300003,78.300003,8118517
2016-11-01,78.300003,79.500000,76.550003,78.150002,78.150002,6868528
2016-11-02,77.500000,78.099998,76.800003,77.050003,77.050003,2066811
2016-11-03,76.949997,78.500000,76.150002,76.699997,76.699997,2997405
2016-11-04,76.400002,77.349998,74.000000,74.599998,74.599998,3582019
2016-11-07,75.250000,76.400002,74.949997,75.349998,75.349998,2464750
2016-11-08,75.699997,77.250000,74.099998,74.400002,74.400002,2120863
2016-11-09,71.000000,72.750000,67.000000,71.699997,71.699997,4934441
2016-11-10,72.900002,75.349998,72.400002,74.449997,74.449997,4391024
2016-11-11,74.750000,74.750000,71.599998,72.099998,72.099998,3712989
2016-11-15,72.099998,72.500000,68.599998,69.250000,69.250000,4954987
2016-11-16,69.699997,71.349998,69.300003,70.699997,70.699997,4243025
2016-11-17,71.500000,72.550003,69.949997,70.150002,70.150002,3410138
2016-11-18,70.599998,70.949997,69.449997,70.050003,70.050003,4256768
2016-11-21,70.150002,70.500000,68.050003,68.599998,68.599998,6898248
2016-11-22,69.099998,69.699997,68.400002,68.949997,68.949997,3736671
2016-11-23,69.699997,69.849998,68.750000,69.300003,69.300003,3746416
2016-11-24,69.000000,70.050003,68.500000,69.400002,69.400002,7541314
2016-11-25,69.550003,70.800003,69.300003,70.050003,70.050003,1479482
2016-11-28,70.500000,73.199997,70.099998,72.699997,72.699997,4400662
2016-11-29,73.349998,73.449997,72.000000,72.250000,72.250000,4671961
2016-11-30,72.199997,74.500000,70.900002,74.050003,74.050003,10053588
2016-12-01,74.800003,75.099998,72.500000,72.849998,72.849998,4458587
2016-12-02,72.650002,74.650002,72.300003,73.449997,73.449997,6273560
2016-12-05,73.449997,74.349998,72.750000,73.150002,73.150002,3703955
2016-12-06,74.900002,75.800003,74.349998,75.199997,75.199997,8017447
2016-12-07,75.300003,78.000000,73.900002,74.300003,74.300003,14527202
2016-12-08,75.000000,75.800003,74.800003,75.550003,75.550003,3878732
2016-12-09,75.699997,77.500000,75.150002,77.050003,77.050003,9503932
