Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,1082.900024,1082.900024,1062.449951,1069.900024,1061.304199,2458223
2016-06-29,1075.000000,1083.800049,1070.000000,1072.699951,1064.081543,2326180
2016-06-30,1081.900024,1110.000000,1074.500000,1107.099976,1098.205200,3247430
2016-07-01,1112.650024,1134.000000,1106.550049,1129.699951,1120.623657,2537467
2016-07-04,1135.000000,1140.000000,1115.000000,1117.599976,1108.620850,2033428
2016-07-05,1118.900024,1132.000000,1113.000000,1126.400024,1117.350220,1563552
2016-07-07,1126.400024,1130.000000,1110.000000,1112.099976,1103.165039,1621711
2016-07-08,1111.250000,1124.000000,1106.599976,1120.250000,1111.249634,1131325
2016-07-11,1132.000000,1148.900024,1131.099976,1143.500000,1134.312744,1875372
2016-07-12,1142.000000,1155.949951,1138.099976,1153.650024,1144.381226,1629304
2016-07-13,1152.699951,1153.250000,1138.000000,1146.699951,1137.487061,1782863
2016-07-14,1148.000000,1173.900024,1145.400024,1171.449951,1162.038208,1923944
2016-07-15,1172.000000,1186.199951,1160.550049,1179.199951,1169.725952,1877970
2016-07-18,1175.099976,1184.449951,1170.300049,1174.500000,1165.063721,1136994
2016-07-19,1170.000000,1170.949951,1143.500000,1153.349976,1144.083618,2048419
2016-07-20,1155.500000,1168.750000,1148.099976,1162.800049,1153.457764,1459174
2016-07-21,1162.000000,1170.000000,1150.400024,1154.650024,1145.373291,1033059
2016-07-22,1155.000000,1166.349976,1149.300049,1156.699951,1147.406738,1828643
2016-07-25,1150.050049,1189.349976,1147.750000,1182.750000,1173.247437,2040454
2016-07-26,1183.000000,1211.099976,1177.150024,1200.150024,1190.507690,2434304
2016-07-27,1205.900024,1214.500000,1176.099976,1200.449951,1190.805176,8034489
2016-07-28,1206.949951,1227.849976,1202.650024,1223.500000,1213.670044,3509271
2016-07-29,1225.000000,1236.000000,1209.000000,1216.949951,1207.172607,2487212
2016-08-01,1224.000000,1235.000000,1203.550049,1221.400024,1211.586914,1678533
2016-08-02,1226.000000,1244.500000,1222.849976,1228.400024,1218.530762,1891044
2016-08-03,1233.000000,1244.900024,1217.650024,1235.550049,1225.623291,2806973
2016-08-04,1240.500000,1245.300049,1220.050049,1231.550049,1221.655396,1843826
2016-08-05,1239.800049,1263.000000,1234.500000,1258.449951,1248.339233,2136223
2016-08-08,1268.150024,1270.000000,1255.199951,1265.250000,1255.084595,1297207
2016-08-09,1265.150024,1265.849976,1251.000000,1259.849976,1249.728027,1739978
2016-08-10,1264.000000,1271.849976,1247.599976,1267.400024,1257.217407,2459788
2016-08-11,1265.000000,1265.000000,1236.099976,1252.500000,1242.437012,3542392
2016-08-12,1254.000000,1294.000000,1253.000000,1290.699951,1280.330078,3488899
2016-08-16,1290.699951,1314.949951,1289.900024,1294.949951,1284.545898,2818873
2016-08-17,1301.000000,1309.900024,1285.300049,1308.349976,1297.838257,1639390
2016-08-18,1310.199951,1324.750000,1308.000000,1320.650024,1310.039551,1852179
2016-08-19,1321.000000,1339.000000,1316.000000,1335.949951,1325.216553,1664226
2016-08-22,1335.000000,1349.250000,1332.699951,1343.300049,1332.507568,2159542
